,categorie - 1 axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.001,0.0
2,carVasa_sym - 29/38,"(np.float64(0.73), 'C')",0.546,0.688,0.688,0.615,1.092,0.571,1.375,[0.21  0.735],0.736,0.421,0.216,1.092
3,cup_sym - 10/22,"(np.float64(0.73), 'C')",0.311,0.523,0.388,0.332,0.622,0.863,0.742,[0.726 0.165],0.246,0.253,0.072,0.622
4,A380_sym - 165/185,"(np.float64(0.73), 'C')",0.351,0.578,0.498,0.37,0.701,0.764,0.826,[0.229 0.711],0.27,0.256,0.068,0.701
5,cabinet-d_sym - 40/43,"(np.int64(1), 'C')",0.094,0.137,0.136,0.097,0.187,0.991,0.217,[0.985 0.002],inf,0.21,0.066,0.187
6,cabinet-t_sym - 39/63,"(np.float64(0.75), 'W')",0.465,0.889,0.705,0.486,0.93,0.734,1.087,[0.493 0.399],inf,0.419,0.255,0.93
7,bench_sym - 27/47,"(np.int64(1), 'C')",0.408,1.197,0.589,0.464,0.816,0.823,1.038,[0.816 0.092],0.536,0.401,0.241,0.816
8,cabinet-n_sym - 31/40,"(np.int64(1), 'C')",0.06,0.079,0.07,0.067,0.12,0.996,0.149,[0.993 0.001],inf,0.156,0.033,0.12
9,vase_sym - 3/157,"(np.int64(1), 'C')",0.225,0.404,0.403,0.268,0.449,0.951,0.599,[0.976 0.005],0.241,0.278,0.111,0.449
10,chair107_sym - 194/249,"(np.int64(1), 'C')",0.224,0.446,0.345,0.22,0.448,0.942,0.493,[0.915 0.029],0.154,0.21,0.045,0.448
