,categorie - 3 axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.0,0.0
2,carVasa - 0/38,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
3,cup - 0/22,"(np.float64(0.34), 'C')",,,,,,,,[nan nan],,,,
4,A380 - 0/185,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
5,cabinet-d - 0/43,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
6,cabinet-t - 0/63,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
7,bench - 0/47,"(np.int64(1), 'C')",,,,,,,,[nan nan],,,,
8,chair107 - 0/249,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
9,cabinet-n - 0/40,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
10,vase - 0/157,"(np.float64(0.34), 'C')",,,,,,,,[nan nan],,,,
